symptom,n_true_pos,n_samples,ZS_f1,ZS_precision,ZS_recall,ZS_pred_pos,FS_f1,FS_precision,FS_recall,FS_pred_pos,RX_f1,RX_precision,RX_recall,RX_pred_pos
Anxiety/Racing thoughts,0,300,,,,0,,,,0,,,,9
Blurred vision (can't see clearly),0,300,,,,0,,,,0,,,,297
Conjunctivitis (red/irritated/pink eyes),0,300,,,,0,,,,0,,,,51
Dehydration (dry mouth/not drinking enough),0,300,,,,0,,,,0,,,,132
Dizziness/Lightheadedness upon standing,0,300,,,,3,,,,3,,,,18
Dysuria (burning/pain when urinating),0,300,,,,0,,,,0,,,,9
Easy bruising (bruises appearing without injury),0,300,,,,0,,,,0,,,,78
Eye pain (pain behind eyes/hurts to move eyes),0,300,,,,0,,,,0,,,,267
Flank pain (pain in side/lower back near kidneys),0,300,,,,0,,,,0,,,,291
Hematuria (blood in urine),0,300,,,,0,,,,0,,,,117
Neck stiffness with headache (meningeal signs),0,300,,,,0,,,,0,,,,177
Night sweats (waking up drenched),0,300,,,,0,,,,0,,,,153
Orthopnea (breathing trouble while lying flat),0,300,,,,3,,,,3,,,,216
Otalgia (ear ache/pressure),0,300,,,,0,,,,0,,,,60
Palpitations (heart skipping beats),0,300,,,,0,,,,0,,,,24
Peripheral edema (swollen ankles),0,300,,,,0,,,,0,,,,48
Petechiae (tiny red/purple spots on skin),0,300,,,,0,,,,0,,,,138
Seizure (convulsions/blacking out with shaking),0,300,,,,0,,,,0,,,,51
Skin discoloration (unusual color changes),0,300,,,,18,,,,7,,,,252
Sleep disturbance (difficulty falling/staying asleep),0,300,,,,13,,,,3,,,,138
Tinnitus (ringing in ears),0,300,,,,0,,,,0,,,,33
Unintentional weight loss (losing weight without trying),0,300,,,,0,,,,0,,,,156
Unusual bleeding (nosebleeds/bleeding gums),0,300,,,,0,,,,3,,,,69
Urinary frequency (going to bathroom constantly),0,300,,,,0,,,,0,,,,228
Watery/Tearing eyes (eyes won't stop watering),0,300,,,,0,,,,0,,,,99
Wheezing (whistling sound when breathing),0,300,,,,0,,,,0,,,,291
Work-related stress,0,300,,,,18,,,,5,,,,78
Brain fog (mental cloudiness),3,300,0.3158,0.1875,1.0,16,0.375,0.2308,1.0,13,0.0714,0.037,1.0,81
Subjective fever (feeling hot/burning up),9,300,0.383,0.2368,1.0,38,0.4865,0.3214,1.0,28,0.0706,0.0366,1.0,246
Chills and rigors,12,300,0.4068,0.2553,1.0,47,0.4286,0.2727,1.0,44,0.2759,0.16,1.0,75
Arthralgia (stiff/painful joints),15,300,0.4898,0.3529,0.8,34,0.5106,0.375,0.8,32,0.5,0.3636,0.8,33
Loss of appetite (no desire to eat),6,300,0.5,0.3333,1.0,18,0.5,0.3333,1.0,18,0.0392,0.02,1.0,300
Leg pain (calf/thigh aching),21,300,0.6885,0.525,1.0,40,0.7925,0.6562,1.0,32,0.1522,0.0824,1.0,255
Lower back strain,18,300,0.8,1.0,0.6667,12,0.8,1.0,0.6667,12,0.1348,0.0723,1.0,249
General malaise (feeling wiped out),54,300,0.8142,0.7797,0.8519,59,0.7879,0.8667,0.7222,45,0.3636,0.2222,1.0,243
Profound fatigue (bone-tired),39,300,0.8211,0.6964,1.0,56,0.75,0.6,1.0,65,0.6667,0.5,1.0,78
"Dry, hacking cough",15,300,0.8333,0.7143,1.0,21,0.8333,0.7143,1.0,21,0.3125,0.1852,1.0,81
Dyspnea (shortness of breath),9,300,0.8571,0.75,1.0,12,0.8571,0.75,1.0,12,0.1304,0.0698,1.0,129
Low-grade fever (100.4F - 102F),9,300,0.9,0.8182,1.0,11,1.0,1.0,1.0,9,0.1304,0.0698,1.0,129
Ageusia (total loss of taste),18,300,0.9091,1.0,0.8333,15,0.9091,1.0,0.8333,15,0.2182,0.1224,1.0,147
Anosmia (total loss of smell),18,300,0.9091,1.0,0.8333,15,0.9091,1.0,0.8333,15,0.25,0.1429,1.0,126
Confusion/Altered mental status (feeling out of it),15,300,0.9091,0.8333,1.0,18,0.9091,0.8333,1.0,18,0.1163,0.0617,1.0,243
Constipation (no bowel movement for days),12,300,0.9091,1.0,0.8333,10,1.0,1.0,1.0,12,0.0769,0.04,1.0,300
Nasal congestion (sinus pressure),69,300,0.9583,0.92,1.0,75,0.9787,0.9583,1.0,72,0.5055,0.3382,1.0,204
Severe chills and shivering (teeth chattering),39,300,0.963,0.9286,1.0,42,0.963,0.9286,1.0,42,0.4727,0.3095,1.0,126
"Sudden high fever (102F-104F, came on fast)",48,300,0.9677,1.0,0.9375,45,0.9895,1.0,0.9792,47,0.4507,0.2909,1.0,165
Sore throat (stabbing/razor-blade pain),54,300,0.9714,1.0,0.9444,51,0.9714,1.0,0.9444,51,0.3396,0.2045,1.0,264
Frontal headache (throbbing pressure),57,300,0.9744,0.95,1.0,60,0.9744,0.95,1.0,60,0.4471,0.2879,1.0,198
Myalgia (deep muscle aches in back/thighs),57,300,0.9744,0.95,1.0,60,0.9744,0.95,1.0,60,0.6667,0.5,1.0,114
Rhinorrhea (runny nose),60,300,0.9744,1.0,0.95,57,0.9661,0.9828,0.95,58,0.7273,0.5714,1.0,105
Abdominal pain (stomach cramps/belly ache),12,300,1.0,1.0,1.0,12,1.0,1.0,1.0,12,0.0899,0.0471,1.0,255
Bloating (belly feels swollen/distended),18,300,1.0,1.0,1.0,18,1.0,1.0,1.0,18,0.1739,0.0952,1.0,189
Chest tightness/pressure,9,300,1.0,1.0,1.0,9,1.0,1.0,1.0,9,0.2222,0.125,1.0,72
Diarrhea (loose/watery stools),18,300,1.0,1.0,1.0,18,1.0,1.0,1.0,18,0.5455,0.375,1.0,48
Frequent sneezing,75,300,1.0,1.0,1.0,75,1.0,1.0,1.0,75,0.8772,0.7812,1.0,96
Heartburn/GERD (burning in chest after eating),12,300,1.0,1.0,1.0,12,1.0,1.0,1.0,12,0.1111,0.0588,1.0,204
Hives/Urticaria (itchy welts/bumps),15,300,1.0,1.0,1.0,15,1.0,1.0,1.0,15,0.5556,0.3846,1.0,39
Nausea (feeling queasy/sick to stomach),12,300,1.0,1.0,1.0,12,1.0,1.0,1.0,12,0.093,0.0488,1.0,246
Neck stiffness (can't turn head),18,300,1.0,1.0,1.0,18,1.0,1.0,1.0,18,0.1765,0.0968,1.0,186
Numbness/Tingling (pins and needles in hands/feet),18,300,1.0,1.0,1.0,18,1.0,1.0,1.0,18,1.0,1.0,1.0,18
Persistent tickle in throat,21,300,1.0,1.0,1.0,21,1.0,1.0,1.0,21,0.28,0.1628,1.0,129
Photophobia (light sensitivity/hurts to look at bright light),9,300,1.0,1.0,1.0,9,1.0,1.0,1.0,9,0.0769,0.04,1.0,225
Pruritus (itchy skin all over),15,300,1.0,1.0,1.0,15,1.0,1.0,1.0,15,0.0971,0.051,1.0,294
Rash (red/raised patches on skin),18,300,1.0,1.0,1.0,18,1.0,1.0,1.0,18,0.24,0.1364,1.0,132
Sciatica (shooting leg pain),15,300,1.0,1.0,1.0,15,1.0,1.0,1.0,15,0.1149,0.061,1.0,246
Shoulder pain (difficulty raising arm),21,300,1.0,1.0,1.0,21,1.0,1.0,1.0,21,0.1522,0.0824,1.0,255
Skin lesions (sores/blisters on skin),12,300,1.0,1.0,1.0,12,1.0,1.0,1.0,12,0.1667,0.0909,1.0,132
Tremor (hands shaking involuntarily),15,300,1.0,1.0,1.0,15,1.0,1.0,1.0,15,0.3704,0.2273,1.0,66
Vomiting (throwing up/can't keep food down),9,300,1.0,1.0,1.0,9,1.0,1.0,1.0,9,0.0632,0.0326,1.0,276
Weakness (no strength in arms/legs),18,300,1.0,1.0,1.0,18,1.0,1.0,1.0,18,0.1132,0.06,1.0,300
